Nome completo,Data de nascimento,Email,CPF
RAFAEL BARBOZA,1987-12-26,r_barboza@hotmail.com,272.329.156-16
BRÁS NETO,1990-10-04,bneto@hotmail.com,569.575.500-01
XERXES NÓBREGA,1991-12-17,xerxes_n@gmail.com,123.330.628-60
BALDUÍNO GUARANÁ,1977-10-28,balduino_guarana@yahoo.fr,530.040.071-85
HÉLIO PONTES,1994-02-09,helio.p@gmail.com,652.899.449-82
VANDERLEI CYRNE,1976-04-27,vanderlei.c@charter.net,808.898.054-23
URBANO LOZADA,2000-06-14,u_lozada@gmail.com,400.024.087-08
ROSELI CARLOS,1974-06-20,carlos@gmail.com,744.150.353-10
GERUSA TEIXEIRA,1990-06-08,gerusa.t@gmail.com,922.267.258-57
GUSTAVO JAGUARIÚNA,1991-06-25,gustavo_jaguariuna@hotmail.com,536.534.967-99
VALÉRIO PAIXÃO,1979-10-10,paixao@hotmail.com,626.753.879-67
AURÉLIA CASTRO,1973-07-31,a.castro@gmail.com,591.566.326-57
BASILIO VILLAS BÔAS,1988-04-26,basilio.villasboas_88@verizon.net,860.936.275-27
BALDUÍNO GARCIA DE GONDIM,1993-08-06,balduino.g@gmail.com,353.415.553-09
ABIGAIL JORDÁN,1972-10-12,jordan@gmail.com,073.678.259-17
DONATA LAMEGO,1993-09-02,donata_lamego@gmail.com,139.264.219-16
MÁXIMA RODRIGUES,2000-11-24,maxima_rodrigues00@hotmail.fr,612.593.291-51
VÍTOR TAMOIO,1993-06-22,v_tamoio@aol.com,862.833.084-49
ÁLVARO BARANDA,1973-08-31,a_baranda@yahoo.com,681.447.819-61
LINO LISBOA,1976-09-09,lino_lisboa@hotmail.co.uk,305.118.619-82
SELMA TOLEDO,1997-06-17,selma_toledo_97@hotmail.com,571.562.564-59
PARAGUAÇU COVINHA,1970-11-28,paraguacuc@orange.fr,999.095.184-57
AMÉLIA MOREYRA,1995-04-08,ameliamoreyra@libero.it,949.808.004-67
TEODORO LEIRIA,2001-11-15,t_leiria@gmail.com,640.330.525-50
FLORINDA BENEVIDES,2001-01-25,florinda.benevides@hotmail.com,015.969.072-23
RAFAELA ÁLVEZ,1962-12-05,r.alvez@gmail.com,089.318.700-35
MARCO ORNELLAS,1961-01-09,marcoornellas.61@yahoo.com,672.023.412-98
ADRIANO PASSARINHO,1976-01-30,adrianop@hotmail.com,440.743.662-07
RÓMULO REBELLO,1990-02-06,romulorebello@gmail.com,737.764.141-03
HÉLIA GAMEIRO,1970-08-16,h.gameiro@free.fr,215.041.059-15
MIRIAM MILHEIRÃO,1970-08-25,miriam_milheirao_70@gmail.com,591.775.005-04
TRAJANO GAMEIRO,1986-10-30,trajanogameiro@gmail.com,609.042.573-71
IRANI LACERDA,1993-11-10,irani.l@hotmail.com,056.285.339-12
FELISBELA COTEGIPE,1990-10-07,felisbela_cotegipe@yahoo.com,393.782.181-30
CUSTÓDIO RANGEL,1979-10-31,custodior@gmail.com,421.143.781-01
BEATRIZ VIDES,1997-01-20,beatriz_v@uol.com.br,639.283.516-48
HÉLIA PÉREZ,1995-08-05,helia.p@gmail.com,015.015.232-95
HÉLIA LAGO,1997-06-14,helialago@gmail.com,584.335.556-00
GRAÇA PORTELA,1985-04-21,portela@alice.it,680.285.257-84
ADÉLIA MANGUEIRA,1984-03-27,adeliam@yahoo.fr,231.258.002-00
RUTE SALGADO,1993-06-11,r.salgado@gmail.com,006.337.157-00
ADÉLIA ILHA,1964-08-02,a.ilha@gmail.com,221.075.940-40
IBERÊ PERALTA,1993-02-02,ibereperalta@gmail.com,974.212.480-99
LÍVIA BETHECOURT,1998-04-01,bethecourt@gmail.com,628.674.733-81
ISAURA MARCONDES,1970-03-07,i_marcondes@hotmail.com,919.558.671-78
MOACIR CRUZ,2001-11-20,cruz@hotmail.com,963.123.112-79
AARÃO SUCUPIRA,1995-03-21,aarao.s@yahoo.com,777.341.257-00
