Nome completo,Data de nascimento,Email,CPF
JOEL PIMENTA,1978-10-05,joel_pimenta@yahoo.com,312.764.005-60
ESTÊVÃO MURTINHO,1975-03-06,estevaomurtinho@yahoo.com.br,729.252.053-72
FLORA TALHÃO,1981-08-20,f_talhao@gmail.com,236.801.776-31
RAMIRO OLAIO,1983-03-09,ramiro.olaio@yahoo.com,128.589.069-80
DIANA TOMÉ,1972-09-22,diana_t@gmail.com,510.984.008-36
ZULEIDE HIERRO,2000-11-07,zuleidehierro_00@hotmail.com,929.664.923-41
MIRIAM MORALES,1983-08-10,mmorales@yahoo.com,823.502.298-23
AMÁLIA CASTILHO,1978-08-02,amalia.castilho_78@hotmail.com,808.062.971-40
BELCHIOR VENTURA,1994-12-27,belchior_ventura_94@gmail.com,924.900.068-51
FLAMÍNIA CHOUSA,1992-06-15,flaminia_chousa.92@uol.com.br,791.389.385-02
LÍLIA DIAS,1996-01-18,dias@gmail.com,910.371.524-84
TÉRCIO PARI,1995-07-29,terciopari@gmail.com,995.054.378-97
INAIÁ CARROMEU,1991-07-03,inaia.c@hotmail.com,412.941.598-01
EMILIANA PAIS,1983-09-05,emiliana_p@gmail.com,388.587.907-74
IRACEMA PIMENTA,1983-03-14,iracema.p@gmail.com,071.170.483-01
GIRÃO AZENHA,1989-02-13,giraoa@hotmail.com,595.567.658-91
LEONOR VILLANUEVA,1990-10-28,villanueva@gmail.com,487.502.898-96
INÊS ALENCASTRE,1980-01-14,ines.a@aol.com,370.021.179-12
HÉLDER ALENCAR,1975-07-12,helder_alencar@yahoo.com,762.080.899-05
JUDAS PINHO,1962-07-29,judaspinho@aol.com,213.904.182-86
FABÍOLA GIRÓN,1972-04-05,fabiola_giron72@gmail.com,177.981.748-77
