Nome completo,Data de nascimento,Email,CPF
MOEMA LEAL,1973-06-10,moema.l@yahoo.co.in,597.632.240-98
TOMÉ XIMENES,1970-11-18,tomeximenes70@gmail.com,707.564.117-42
HERIBERTO MENEZES,1998-01-31,h_menezes@yahoo.com,285.764.101-09
SALOMÃO CANÁRIO,1982-11-09,salomaoc@gmail.com,513.369.765-19
NAZARÉ PELÁEZ,1978-07-27,nazarepelaez.78@gmail.com,341.901.497-05
SAMUEL CORVELO,1984-07-02,corvelo@verizon.net,888.440.862-80
SIQUENIQUE GARCÍA,1971-02-28,siquenique_g@gmail.com,538.743.271-40
MIRIAM NOITE,1994-08-02,noite@gmail.com,261.192.724-37
LEONEL ALBERNAZ,1998-06-22,leonel.albernaz_98@gmail.com,489.421.338-94
GRAÇA VIANA,1961-01-13,graca_v@hotmail.com,416.615.458-31
BALTASAR FELGUEIRA,1965-11-26,baltasarf@hotmail.com,578.674.467-10
ADÉLIO GUEDELLA,1970-04-05,adelio_guedella@gmail.com,733.157.514-71
GERTRUDES JORDÁN,1987-12-18,gertrudes_jordan.87@hotmail.com,210.660.088-76
AMÉRICO BRIÓN,1990-03-19,brion@gmail.com,602.453.829-41
MAÍRA PIRAJÁ,1976-02-20,piraja@yahoo.co.in,203.024.592-51
DAMIÃO RORIZ,1982-03-09,damiaor@hotmail.com,387.480.965-04
MAIARA SABALA,1982-12-07,m_sabala@gmail.com,706.672.496-80
PIEDADE NATAL,1987-04-07,piedadenatal.87@yahoo.com.br,285.817.202-18
ISILDA ARARIPE,2001-03-12,iararipe@gmail.com,655.530.040-04
MARÍLIA GRANGEIA,1964-10-21,marilia_g@aol.com,182.024.543-87
JERÔNIMO QUIRÓS,1974-05-03,j_quiros@uol.com.br,637.012.408-76
LUCRÉCIA LEÇA,1968-06-09,lucrecial@hotmail.com,437.467.950-28
COSME GRANDE,1977-05-28,c.grande@gmail.com,323.952.767-74
FLOR FIGUEROA,1992-02-13,ffigueroa@yahoo.com,238.084.500-02
PARCIDIO GÓMEZ,1986-12-14,pgomez@gmail.com,488.687.051-17
URBANO ESCOBAR,1998-03-03,urbano.escobar@gmail.com,618.633.090-71
VANDERLEI CASTEL-BRANCO,1989-05-11,vcastel-branco@gmail.com,724.976.249-41
BALDUÍNO LEME,1997-03-29,balduino.l@gmail.com,464.760.964-27
ÁTILA RIVERO,2004-07-20,atilarivero_04@aol.com,453.803.538-60
LÍLIA MONFORTE,1984-12-16,lilia.monforte_84@gmail.com,927.229.606-48
VERIDIANA VILANOVA,1995-08-22,vilanova@hotmail.fr,606.392.363-24
ÁGATA CASALINHO,1990-04-24,agata_casalinho@hotmail.com,404.558.757-82
SOEIRO VIEYRA,1982-03-04,svieyra@gmail.com,474.808.083-30
SANDRA GARCEZ,1995-11-18,sandragarcez@gmail.com,352.052.162-80
CASSANDRA GAGO,1985-05-02,gago@gmail.com,228.073.413-30
MARLENE MATTOZO,1971-02-09,marlenem@yahoo.com,238.979.874-81
URÂNIA GARCEZ,1982-07-21,urania.garcez_82@gmail.com,954.057.036-05
DORA PAMPLONA,1996-01-03,pamplona@live.nl,206.054.001-13
ORDONHO COTRIM,1976-06-02,ordonho_cotrim@hotmail.com,969.208.102-80
HERMÍGIO SERPA,1980-06-12,hermigio_s@aol.com,446.760.005-10
DEISE FERREYRA,2000-08-08,dferreyra@gmail.com,896.820.440-30
BRITES NEGRÃO,1981-02-11,b_negrao@gmail.com,603.937.818-28
ILMA SOSA,1989-11-19,ilmasosa_89@gmail.com,348.915.050-36
NOÉ SEABRA,1970-08-18,seabra@gmail.com,431.736.785-83
HELOÍSA PIMENTA,1966-07-19,heloisa.pimenta_66@gmail.com,320.906.099-15
