Nome completo,Data de nascimento,Email,CPF
GUILHERMINA MAYOR,1993-05-08,guilhermina_mayor@sfr.fr,607.045.912-19
FREDERICA VILLELA,1970-01-07,f.villela@gmail.com,436.539.899-73
CELESTINO ONOFRE,2003-07-12,celestinoonofre@yahoo.com,067.585.962-06
HEDVIGES BANDEIRA,1991-04-18,h.bandeira@outlook.com,849.239.429-32
EUGÉNIA FIGUEIRA,1977-08-12,eugeniafigueira.77@gmail.com,285.430.641-47
HÉLDER BESERRIL,1978-08-28,h.beserril@free.fr,039.577.351-22
EZEQUIEL VALLE,1980-05-02,ezequiel_valle@yahoo.fr,646.000.042-56
ELIAS ESTEVES,1987-11-03,elias_e@gmail.com,726.733.412-18
DUARTE MAGALHÃES,1997-05-07,duarte.magalhaes.97@gmail.com,375.006.564-08
IVA JORGE,2002-09-21,ivajorge02@juno.com,085.855.033-43
GARIBALDO REBIMBAS,1989-11-15,g.rebimbas@yahoo.fr,900.681.583-78
ARARIBÓIA LEITE,1994-05-01,leite@orange.fr,396.667.952-30
GERARDO HILÁRIO,1983-01-28,gerardo_hilario@yahoo.co.uk,105.908.833-99
TÁLIA NOBRE,1989-09-06,talian@yahoo.com,528.158.966-05
