Nome completo,Data de nascimento,Email,CPF
CÉLIA VARÃO,1989-05-23,celia_varao@gmail.com,626.477.866-40
FABÍOLA PAES,1968-08-29,fabiola.paes_68@hotmail.com,109.504.967-40
GUIOMAR INÊS,1984-06-04,g_ines@hotmail.com,957.491.408-90
RODRIGO VILELA,1970-03-05,r_vilela@gmail.com,505.783.421-54
RAONI CASADO,1999-09-25,raoni.c@yahoo.com,379.355.142-32
APUÃ NORÕES,1983-02-13,apua.n@yahoo.co.in,619.828.760-26
SORAIA MIRANDELA,1978-08-22,mirandela@gmail.com,226.457.494-10
INAIÁ FURQUIM,1983-11-02,i_furquim@hotmail.fr,392.579.148-52
VICENTE PORTO,1977-12-09,vicente_p@hotmail.it,820.655.786-53
RUBIM FRANCA,1994-09-01,rubim.f@hotmail.com,447.361.724-60
IBIJARA BAUTISTA,2003-04-30,i.bautista@yahoo.com,096.711.326-18
SÍLVIA THEMES,1999-11-18,sthemes@gmail.com,943.659.380-53
PALO ROSÁRIO,1994-06-02,palo.rosario94@hotmail.com,601.105.220-79
BRÁS CINTRA,1988-04-07,bras_cintra_88@gmail.com,965.511.181-43
TIMÓTEO COELHO,1973-05-23,timoteocoelho@gmail.com,720.457.679-90
MARGARIDA MIRANDA,1965-08-18,margaridamiranda.65@hotmail.com,823.309.819-10
FABIANO SANT'ANNA,1988-05-14,fabianos@gmail.com,966.831.824-26
FÁBIO VARELLA,1973-02-20,fabio_varella@gmail.com,519.989.707-10
LUÍS CAPIPERIBE,1975-06-30,capiperibe@yahoo.com,051.119.655-56
ADOLFO DIAS,1981-04-04,adolfo.d@shaw.ca,387.492.956-67
FLÁVIO MATTOS,1989-12-21,flavio.m@yahoo.com,622.832.587-66
CÂNDIDO FARTARIA,2001-03-04,candido_f@gmail.com,908.118.931-03
DANILO ESTRADA,1981-06-21,d_estrada@yahoo.ca,173.886.094-90
RÔMULO MALTA,1990-02-26,malta@live.com,958.475.970-10
MOACI FROIS,1990-07-21,m.frois@gmail.com,169.703.015-75
ZORAIDE ISLA,1965-10-23,zoraideisla.65@gmail.com,594.467.408-35
VIRGÍNIA GOUVEIA,1962-05-21,virginia_gouveia@aol.com,187.570.863-46
RÓMULO PASSARINHO,1994-06-19,passarinho@gmail.com,724.074.130-32
FRANCISCO OITICICA,1982-07-20,f_oiticica@hotmail.com,780.942.124-70
ROBERTO ALVIM,1990-07-09,roberto.a@gmail.com,483.212.716-00
ALDONÇA FERRAÇO,1996-12-23,a.ferraco@gmail.com,680.805.131-39
